idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
17,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3134271204471588,-0.05263661593198776,9.450665473937988,-0.0007993200561031699,0.0010657600359991193,0.0007993200561031699
18,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.33496028184890747,-0.043066322803497314,9.362139701843262,-0.0013322000158950686,0.0010657600359991193,0.0010657600359991193
19,0.0,1500,11.682000160217285,0.0,0.0,1500,0.0,0.0,0.0,0.36127859354019165,-0.04785146936774254,9.441095352172852,0.0005328800179995596,0.0007993200561031699,0.0015986401122063398
20,0.0,1500,11.682000160217285,0.0,0.0,1500,0.0,0.0,0.0,0.3253899812698364,-0.014355440624058247,9.381280899047852,-0.0007993200561031699,0.0002664400089997798,0.0005328800179995596
21,0.0,1500,11.67199993133545,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.021533161401748657,9.445879936218262,-0.0013322000158950686,0.0002664400089997798,0.0
22,0.0,1500,11.67199993133545,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.043066322803497314,9.469805717468262,0.0,0.0,0.0
23,0.0,1500,11.684000015258789,0.0,0.0,1500,0.0,0.0,0.0,0.3086419701576233,-0.07416977733373642,9.390851020812988,-0.0015986401122063398,-0.0005328800179995596,-0.0005328800179995596
24,0.0,1500,11.684000015258789,0.0,0.0,1500,0.0,0.0,0.0,0.35410088300704956,-0.031103456392884254,9.455450057983398,-0.0010657600359991193,-0.0007993200561031699,0.0
25,0.0,1500,11.692000389099121,0.0,0.0,1500,0.0,0.0,0.0,0.31821227073669434,-0.057421762496232986,9.405206680297852,-0.0010657600359991193,0.0,0.0
26,0.0,1500,11.692000389099121,0.0,0.0,1500,0.0,0.0,0.0,0.3588860332965851,-0.04067374765872955,9.429132461547852,-0.0007993200561031699,-0.0013322000158950686,-0.0002664400089997798
27,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3636711835861206,-0.06699205935001373,9.469805717468262,-0.0015986401122063398,0.0007993200561031699,-0.0002664400089997798
28,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.2823236584663391,-0.08374007046222687,9.409991264343262,-0.0007993200561031699,0.0007993200561031699,0.0002664400089997798
29,0.0,1500,11.680999755859375,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.07656235247850418,9.388458251953125,-0.0002664400089997798,0.0005328800179995596,-0.0007993200561031699
30,0.0,1500,11.680999755859375,0.0,0.0,1500,0.0,0.0,0.0,0.34213802218437195,-0.02392573468387127,9.453058242797852,0.0002664400089997798,-0.0002664400089997798,-0.0005328800179995596
31,0.0,1500,11.685999870300293,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.08374007046222687,9.395636558532715,-0.0002664400089997798,0.0005328800179995596,-0.0005328800179995596
32,0.0,1500,11.685999870300293,0.0,0.0,1500,0.0,0.0,0.0,0.38759690523147583,-0.03828117623925209,9.445879936218262,-0.0013322000158950686,0.0005328800179995596,0.0
33,0.0,1500,11.666000366210938,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.055029191076755524,9.438702583312988,-0.0007993200561031699,0.0007993200561031699,-0.0005328800179995596
34,0.0,1500,11.666000366210938,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.04067374765872955,9.460235595703125,-0.0007993200561031699,0.0,0.0
35,0.0,1500,11.692000389099121,0.0,0.0,1500,0.0,0.0,0.0,0.3636711835861206,-0.045458897948265076,9.405206680297852,-0.0010657600359991193,0.0,-0.0018650800921022892
36,0.0,1500,11.692000389099121,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.12202125042676926,9.412384033203125,-0.0010657600359991193,0.0005328800179995596,0.0
37,0.0,1500,11.687999725341797,0.0,0.0,1500,0.0,0.0,0.0,0.34931573271751404,-0.045458897948265076,9.472198486328125,-0.0007993200561031699,-0.0005328800179995596,-0.0018650800921022892
38,0.0,1500,11.687999725341797,0.0,0.0,1500,0.0,0.0,0.0,0.31581971049308777,-0.033496029675006866,9.431524276733398,-0.0007993200561031699,0.0010657600359991193,0.0
39,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3277825713157654,-0.08613264560699463,9.398028373718262,0.0,0.0007993200561031699,-0.0005328800179995596
40,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3517082929611206,-0.02631830796599388,9.462628364562988,-0.0007993200561031699,0.0010657600359991193,0.0
41,0.0,1500,11.6850004196167,0.0,0.0,1500,0.0,0.0,0.0,0.32299742102622986,-0.043066322803497314,9.405206680297852,-0.0005328800179995596,0.0002664400089997798,-0.0002664400089997798
42,0.0,1500,11.6850004196167,0.0,0.0,1500,0.0,0.0,0.0,0.34692317247390747,-0.07656235247850418,9.429132461547852,-0.0007993200561031699,0.0,-0.0007993200561031699
43,0.0,1500,11.687000274658203,0.0,0.0,1500,0.0,0.0,0.0,0.2823236584663391,-0.0023925735149532557,9.445879936218262,-0.0013322000158950686,0.0013322000158950686,0.0005328800179995596
