Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
2.099814107,1500,11.56700039,2.363202333,1.83144176,1500,0.174999997,0,-0.039000001,0.411522657,-0.366063744,8.905158997,0.022647401,0.00079932,-0.026377561
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.180000007,0,-0.046,-0.267968237,-0.232079625,9.778448105,0.03756804,0.00586168,-0.029841281
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.173999995,0,-0.125,0.327782571,-0.320604861,9.57029438,0.01225624,-0.0186508,-0.026910441
2.099814107,1500,11.56200027,2.363786697,1.83225584,1500,0.163000003,0,-0.119999997,0.344530582,-0.220116764,9.376495361,-0.029041961,-0.081797086,-0.01651928
2.099814107,1500,11.56200027,2.363786697,1.83225584,1500,0.173999995,0,0.018999999,0.095702939,0.162694991,10.13015652,0.00559524,0.00213152,-0.031173481
2.099814107,1500,11.57800007,2.363841772,1.831575274,1500,0.174999997,0,-0.050000001,0.270360798,0.638817132,8.902766228,-0.00692744,0.00319728,-0.022913842
2.099814107,1500,11.57800007,2.363841772,1.831575274,1500,0.151999995,0,-0.312999994,0.626854241,-0.1172361,8.919513702,-0.013322,0.00692744,-0.048225641
2.099814107,1500,11.56400013,2.362589598,1.830966711,1500,0.171000004,0,-0.093999997,0.131591544,-0.256005377,9.742559433,-0.00186508,0.01625284,-0.031439923
2.099814107,1500,11.56400013,2.362589598,1.830966711,1500,0.175999999,0,-0.048,0.22729449,0.373241454,9.402813911,-0.00479592,0.019450121,-0.02584468
2.099814107,1500,11.5710001,2.364019632,1.832075119,1500,0.172000006,0,0,0.483299851,0.858933866,8.491243362,0.0053288,-0.01651928,-0.00772676
2.099814107,1500,11.5710001,2.364019632,1.832075119,1500,0.148000002,0,-0.298000008,0.047851469,-0.265575647,8.639582634,-0.00586168,-0.024778921,-0.044229042
2.099814107,1500,11.55799961,2.362968683,1.831621885,1500,0.174999997,0,-0.039000001,0.052636616,-0.744090378,9.83347702,-0.03090704,-0.017851481,-0.03250568
2.099814107,1500,11.55799961,2.362968683,1.831621885,1500,0.172000006,0,0.024,0.354100883,0.413915217,9.204230309,-0.033571441,-0.020515881,-0.01438776
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.166999996,0,0.018999999,0.500047863,0.380419195,9.18748188,0.01092404,-0.0159864,0.013322
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.149000004,0,-0.319999993,-0.090917796,-0.588573098,9.931572914,0.00959184,0.00746032,-0.006661
2.099814107,1500,11.56499958,2.362793684,1.831124902,1500,0.173999995,0,-0.043000001,0.373241454,-0.368456334,9.003253937,-0.017585041,0.00159864,-0.00479592
2.099814107,1500,11.56499958,2.362793684,1.831124902,1500,0.171000004,0,0.002,0.574217618,0.337352872,10.23303699,0.027976202,-0.044229042,-0.02344672
2.099814107,1500,11.55700016,2.362764597,1.831463456,1500,0.170000002,0,-0.085000001,0.454588979,-0.203368753,9.771269798,0.00612812,-0.025311802,-0.00692744
2.099814107,1500,11.55700016,2.362764597,1.831463456,1500,0.158999994,0,-0.284999996,0.500047863,-0.284716249,9.055891037,0.02104876,-0.017052161,-0.02371316
2.099814107,1500,11.55799961,2.362968683,1.831621885,1500,0.174999997,0,0.01,0.265575647,-0.30385682,9.364532471,0.015719961,-0.009058961,-0.0119898
2.099814107,1500,11.55799961,2.362968683,1.831621885,1500,0.171000004,0,0.041000001,0.318212271,0.016748015,8.807063103,-0.072205245,0.099382125,-0.038900241
2.099814107,1500,11.56000042,2.36337781,1.831938982,1500,0.158999994,0,-0.298000008,0.196191028,-0.15551728,9.917217255,-0.025045361,0.039699562,-0.034637202
2.099814107,1500,11.56000042,2.36337781,1.831938982,1500,0.172999993,0,-0.074000001,-0.15073213,0.107665807,8.673078537,-0.047692761,0.040765323,-0.0213152
2.099814107,1500,11.55700016,2.362764597,1.831463456,1500,0.174999997,0,-0.039000001,0.476122141,-0.593358219,9.008039474,-0.01678572,-0.00985828,-0.026377561
2.099814107,1500,11.55700016,2.362764597,1.831463456,1500,0.177000001,0,-0.071999997,0.538329065,0.110058382,9.778448105,0.053021561,0.00559524,-0.0159864
2.099814107,1500,11.57600021,2.363433361,1.831258893,1500,0.150999993,0,-0.31099999,0.497655302,0.263183087,9.522442818,0.031173481,-0.02344672,-0.03703516
2.099814107,1500,11.57600021,2.363433361,1.831258893,1500,0.173999995,0,-0.018999999,0.090917796,0.162694991,8.936262131,0.013322,-0.01092404,-0.00746032
2.099814107,1500,11.55799961,2.362968683,1.831621885,1500,0.174999997,0,-0.024,0.196191028,0.066992059,9.022395134,-0.00612812,0.015187081,-0.045028362
2.099814107,1500,11.55799961,2.362968683,1.831621885,1500,0.171000004,0,-0.041000001,0.346923172,-0.334960282,9.50330162,0.0013322,0.0053288,-0.039166681
2.099814107,1500,11.56299973,2.362385035,1.830808282,1500,0.147,0,-0.345999986,0.224901915,0.653172553,9.197052956,-0.031173481,0.015187081,-0.056751721
2.099814107,1500,11.56299973,2.362385035,1.830808282,1500,0.171000004,0,-0.059,0.703416586,0.114843525,9.778448105,-0.014920641,0.019716561,-0.047959201
2.099814107,1500,11.57499981,2.363229275,1.831100702,1500,0.173999995,0,-0.071999997,0.100488089,0.184228167,8.675471306,-0.01891724,0.01545352,-0.055685963
2.099814107,1500,11.57499981,2.363229275,1.831100702,1500,0.171000004,0,-0.048,0.074169777,-0.337352872,9.21380043,-0.00186508,0.017318601,-0.02611112
2.099814107,1500,11.54699993,2.362323761,1.83148253,1500,0.153999999,0,-0.328999996,0.703416586,-0.043066323,8.859699249,0.012522681,-0.00506236,-0.021848081
2.099814107,1500,11.54699993,2.362323761,1.83148253,1500,0.179000005,0,-0.035,0.30864197,-0.22968705,8.570198059,-0.011456921,-0.02158164,-0.035436522
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.175999999,0,-0.006,-0.002392574,-0.193798453,9.280792236,-0.022913842,-0.0106576,-0.02850908
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.165000007,0,-0.203999996,0.868504167,0.342138022,9.204230309,-0.00159864,-0.009058961,-0.017585041
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.170000002,0,-0.127000004,0.236864775,-0.389989495,9.878935814,0.02344672,-0.0053288,-0.01438776
2.099814107,1500,11.56599998,2.362998009,1.831283331,1500,0.179000005,0,-0.021,-0.275145948,-0.174657866,9.560723305,0.00692744,-0.012789121,-0.022913842
2.099814107,1500,11.56499958,2.362793684,1.831124902,1500,0.177000001,0,-0.074000001,0.370848894,-0.019140588,8.869270325,-0.0106576,-0.00186508,-0.024246041
2.099814107,1500,11.56499958,2.362793684,1.831124902,1500,0.152999997,0,-0.312999994,0.291893959,0.105273232,9.646856308,0.013588441,-0.02158164,-0.025045361
2.099814107,1500,11.55599976,2.362560034,1.831304908,1500,0.172999993,0,0.041000001,0.265575647,-0.416307777,8.969758034,0.047959201,0.00985828,0.00106576
2.099814107,1394,11.55599976,2.362560034,1.831304908,1500,0.171000004,0,0.043000001,0.638817132,0.038281176,9.338213921,0.00319728,0.00373016,-0.027976202
2.099814107,1394,11.56299973,2.362385035,1.830808282,1500,0.159999996,0,-0.221000001,0.174657866,-0.22968705,9.462628365,0.00586168,0.021848081,-0.00586168
2.099814107,1394,11.56299973,2.362385035,1.830808282,1500,0.157000005,0,-0.193000004,0.30146426,0.074169777,9.649249077,-0.028775521,0.013322,-0.0186508
2.099814107,1394,11.56099987,1.957341433,2.238337994,1394,0.171000004,0,0.086999997,0.136376694,-0.701024055,9.266437531,-0.01412132,0.046094123,0.006661
2.099814107,1394,11.56099987,1.957341433,2.238337994,1394,0.170000002,0,0.026000001,0.471336991,-0.389989495,9.407599449,-0.057551041,-0.034370761,0.00825964
2.099814107,1394,11.55799961,1.956833482,2.237757206,1394,0.150999993,0,-0.180000007,0.385204345,-0.184228167,9.065461159,0.00452948,-0.027443321,0.109240405
2.099814107,1394,11.55799961,1.956833482,2.237757206,1394,0.175999999,0,0.215000004,0.196191028,0.928318501,9.665996552,0.050090723,-0.020515881,0.134818643
2.099814107,1394,11.55900002,1.957002878,2.237950802,1394,0.174999997,0,0.127000004,0.641209722,-0.267968237,9.84783268,0.00026644,-0.00293084,0.115102082
2.099814107,1394,11.55900002,1.957002878,2.237950802,1394,0.166999996,0,0.029999999,0.779978991,0.30146426,9.84783268,0.00452948,-0.02824264,0.118032925
2.099814107,1394,11.55300045,1.957591653,2.238393784,1394,0.180999994,0,0.150999993,0.46176669,-0.165087566,8.795100212,0.00079932,-0.00293084,0.117233604
2.099814107,1394,11.55300045,1.957591653,2.238393784,1394,0.152999997,0,-0.159999996,0.406737506,-0.454588979,9.706670761,-0.00026644,-0.00293084,0.103645161
1.954653076,1394,11.55799961,1.956833482,2.237757206,1394,0.177000001,0,0.147,0.629246831,-0.241649926,9.850225449,0.00159864,-0.012522681,0.109240405
1.954653076,1394,11.55799961,1.956833482,2.237757206,1394,0.174999997,0,0.137999997,0.382811755,0.212939039,8.895587921,-0.00452948,0.009058961,0.09298756
1.954653076,1394,11.54800034,1.956744552,2.237425089,1394,0.158999994,0,-0.130999997,0.294286549,-0.014355441,9.912431717,-0.017318601,0.00692744,0.120963767
1.954653076,1394,11.54800034,1.822017789,2.083451748,1394,0.173999995,0,0.143999994,0.16030243,0.803904712,9.407599449,0.017851481,-0.00959184,0.11243768
1.954653076,1394,11.56099987,1.820857525,2.082585812,1394,0.164000005,0,0.111000001,0.30385682,0.827830434,8.59412384,-0.015719961,-0.03783448,0.116167843
1.954653076,1394,11.56099987,1.820857525,2.082585812,1394,0.143999994,0,-0.164000005,-0.193798453,-0.287108809,8.670686722,-0.012789121,-0.00373016,0.099915005
