Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z,,Lin_X,0.035999999
0,1500,12.14900017,0,0,1500,0,0,0,0.143554404,-0.040673748,9.386065483,-0.00026644,0.00053288,0.00026644,,,
0,1500,12.14900017,0,0,1500,0,0,0,0.14594698,-0.021533161,9.436309814,-0.0013322,0,0.00053288,,,
0,1500,12.13399982,0,0,1500,0,0,0,0.138769269,-0.064599484,9.364532471,0,0,0.00106576,,,
0,1500,12.13399982,0,0,1500,0,0,0,0.114843525,-0.028710881,9.429132462,0,-0.00026644,-0.00079932,,,
0,1500,12.14599991,0,0,1500,0,0,0,0.102880664,-0.026318308,9.359747887,-0.00079932,0.00026644,0.00053288,,,
0,1500,12.14599991,0,0,1500,0,0,0,0.136376694,-0.03349603,9.469805717,-0.00053288,0,0,,,
0,1500,12.14000034,0,0,1500,0,0,0,0.124413826,-0.064599484,9.400421143,0,0,-0.00079932,,,
0,1500,12.14000034,0,0,1500,0,0,0,0.110058382,-0.023925735,9.431524277,0.00026644,-0.00026644,0,,,
0,1500,12.14599991,0,0,1500,0,0,0,0.100488089,-0.047851469,9.438702583,-0.00026644,-0.00079932,0,,,
0,1500,12.14599991,0,0,1500,0,0,0,0.162694991,-0.062206913,9.467412949,-0.00079932,0.00026644,0.00186508,,,
0,1500,12.14599991,0,0,1500,0,0,0,0.133984119,-0.045458898,9.376495361,-0.00053288,0.00026644,0,,,
0,1500,12.14599991,0,0,1500,0,0,0,0.153124705,-0.026318308,9.457842827,0.00106576,0,0.00106576,,,
0,1500,12.14000034,0,0,1500,0,0,0,0.15551728,-0.064599484,9.388458252,-0.00186508,0.00026644,0.00106576,,,
0,1500,12.14000034,0,0,1500,0,0,0,0.1172361,-0.052636616,9.429132462,0,0,0,,,
0,1500,12.15200043,0,0,1500,0,0,0,0.136376694,-0.069384634,9.441095352,-0.00026644,-0.00053288,0.00053288,,,
0,1500,12.15200043,0,0,1500,0,0,0,0.110058382,-0.071777202,9.414776802,-0.00079932,0,0.00079932,,,
0,1500,12.14299965,0,0,1500,0,0,0,0.1172361,-0.069384634,9.345392227,-0.00026644,0.00053288,0,,,
0,1500,12.14299965,0,0,1500,0,0,0,0.14594698,-0.069384634,9.402813911,0,0,0,,,
0,1500,12.13300037,0,0,1500,0,0,0,0.148339555,-0.009570294,9.436309814,0,-0.00026644,0.00053288,,,
0,1500,12.13300037,0,0,1500,0,0,0,0.131591544,-0.043066323,9.388458252,0,0,0.00053288,,,
0,1500,12.13700008,0,0,1500,0,0,0,0.126806393,-0.035888601,9.438702583,-0.00053288,-0.00026644,-0.00053288,,,
0,1500,12.13700008,0,0,1500,0,0,0,0.090917796,-0.100488089,9.383673668,-0.00106576,0.00026644,0,,,
0,1500,12.13800049,0,0,1500,0,0,0,0.157909855,-0.052636616,9.460235596,-0.00026644,-0.00026644,0.00053288,,,
0,1500,12.13800049,0,0,1500,0,0,0,0.141161829,-0.055029191,9.374102592,-0.00026644,0.00079932,0.00106576,,,
0,1500,12.13300037,0,0,1500,0,0,0,0.126806393,-0.038281176,9.407599449,0.00026644,0.00053288,0.0013322,,,
0,1500,12.13300037,0,0,1500,0,0,0,0.157909855,-0.062206913,9.41956234,-0.0013322,0.0013322,0.00106576,,,
0,1500,12.1420002,0,0,1500,0,0,0,0.126806393,-0.028710881,9.469805717,-0.00026644,0.00026644,0.00079932,,,
0,1500,12.1420002,0,0,1500,0,0,0,0.090917796,-0.086132646,9.426739693,-0.00026644,-0.00053288,0.00053288,,,
0,1500,12.13800049,0,0,1500,0,0,0,0.162694991,-0.019140588,9.481768608,0,0,0.00079932,,,
0,1500,12.13800049,0,0,1500,0,0,0,0.136376694,-0.069384634,9.412384033,-0.00159864,0,0.0013322,,,
0,1500,12.1619997,0,0,1500,0,0,0,0.15073213,-0.08374007,9.39324379,0.00053288,-0.00053288,0.00026644,,,
0,1500,12.1619997,0,0,1500,0,0,0,0.102880664,-0.08374007,9.36692524,-0.00053288,0.0013322,0.00106576,,,
0,1500,12.15600014,0,0,1500,0,0,0,0.15551728,-0.059814338,9.453058243,-0.00106576,0,0.00079932,,,
0,1500,12.15600014,0,0,1500,0,0,0,0.110058382,-0.016748015,9.319073677,0.00053288,-0.00053288,-0.00026644,,,
0,1500,12.15699959,0,0,1500,0,0,0,0.138769269,-0.059814338,9.395636559,0,-0.00053288,0.00026644,,,
0,1500,12.15699959,0,0,1500,0,0,0,0.167480141,-0.074169777,9.386065483,-0.00053288,-0.00026644,0.00053288,,,
0,1500,12.14900017,0,0,1500,0,0,0,0.12202125,-0.043066323,9.376495361,-0.00079932,0.00026644,-0.00053288,,,
0,1500,12.14900017,0,0,1500,0,0,0,0.110058382,-0.059814338,9.383673668,0,0.00026644,0.00079932,,,
0,1500,12.14400005,0,0,1500,0,0,0,0.143554404,-0.035888601,9.364532471,-0.00106576,0,0.00053288,,,
0,1500,12.14400005,0,0,1500,0,0,0,0.126806393,-0.078954928,9.350176811,-0.00079932,0.00079932,0.00079932,,,
2.877170205,1500,12.13899994,0,0,1500,0,0,0,0.131591544,-0.038281176,9.39324379,-0.0013322,0.00026644,0.00026644,,,
