Reference,Bias_Sensor,Bias_val,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
0,Acceleration_Y,0,0.0,1500,12.244999885559082,0.0,0.0,1500,0.0,0.0,0.0,0.275145947933197,-0.14594697952270508,9.388458251953125,0.0002664400089997798,-0.0013322000158950686,0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.244999885559082,0.0,0.0,1500,0.0,0.0,0.0,0.29189395904541016,-0.09809551388025284,9.441095352172852,0.0018650800921022892,0.0,0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.25100040435791,0.0,0.0,1500,0.0,0.0,0.0,0.29907169938087463,-0.12202125042676926,9.366925239562988,0.0007993200561031699,0.0,0.0005328800179995596
0,Acceleration_Y,0,0.0,1500,12.25100040435791,0.0,0.0,1500,0.0,0.0,0.0,0.24164992570877075,-0.11484352499246597,9.419562339782715,0.0002664400089997798,0.0,0.0
0,Acceleration_Y,0,0.0,1500,12.244999885559082,0.0,0.0,1500,0.0,0.0,0.0,0.265575647354126,-0.1507321298122406,9.364532470703125,0.0,-0.0005328800179995596,0.0018650800921022892
0,Acceleration_Y,0,0.0,1500,12.244999885559082,0.0,0.0,1500,0.0,0.0,0.0,0.2703607976436615,-0.15551728010177612,9.436309814453125,0.0015986401122063398,-0.0007993200561031699,-0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.234999656677246,0.0,0.0,1500,0.0,0.0,0.0,0.23447220027446747,-0.13398411870002747,9.345392227172852,0.0010657600359991193,-0.0005328800179995596,0.0
0,Acceleration_Y,0,0.0,1500,12.234999656677246,0.0,0.0,1500,0.0,0.0,0.0,0.27275338768959045,-0.1004880890250206,9.328643798828125,0.0013322000158950686,0.0002664400089997798,0.0005328800179995596
0,Acceleration_Y,0,0.0,1500,12.25,0.0,0.0,1500,0.0,0.0,0.0,0.2440425008535385,-0.11005838215351105,9.393243789672852,0.0005328800179995596,0.0002664400089997798,0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.25,0.0,0.0,1500,0.0,0.0,0.0,0.29189395904541016,-0.1196286752820015,9.371710777282715,-0.0002664400089997798,-0.0007993200561031699,-0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.23799991607666,0.0,0.0,1500,0.0,0.0,0.0,0.29189395904541016,-0.10766580700874329,9.400421142578125,0.0,-0.0010657600359991193,-0.0007993200561031699
0,Acceleration_Y,0,0.0,1500,12.23799991607666,0.0,0.0,1500,0.0,0.0,0.0,0.29189395904541016,-0.09570293873548508,9.347784996032715,0.0015986401122063398,0.0002664400089997798,0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.244000434875488,0.0,0.0,1500,0.0,0.0,0.0,0.2583979368209839,-0.1004880890250206,9.426739692687988,0.0010657600359991193,-0.0013322000158950686,-0.0005328800179995596
0,Acceleration_Y,0,0.0,1500,12.244000434875488,0.0,0.0,1500,0.0,0.0,0.0,0.277538537979126,-0.10288066416978836,9.429132461547852,0.0005328800179995596,-0.0002664400089997798,-0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.239999771118164,0.0,0.0,1500,0.0,0.0,0.0,0.2129390388727188,-0.1004880890250206,9.333429336547852,0.0002664400089997798,-0.0007993200561031699,0.0002664400089997798
0,Acceleration_Y,0,0.0,1500,12.239999771118164,0.0,0.0,1500,0.0,0.0,0.0,0.2942865490913391,-0.138769268989563,9.400421142578125,0.0002664400089997798,-0.0010657600359991193,0.0010657600359991193
0,Acceleration_Y,0,0.0,1500,12.23900032043457,0.0,0.0,1500,0.0,0.0,0.0,0.265575647354126,-0.14355440437793732,9.338213920593262,0.0002664400089997798,0.0002664400089997798,-0.0007993200561031699
0,Acceleration_Y,0,0.0,1500,12.23900032043457,0.0,0.0,1500,0.0,0.0,0.0,0.2583979368209839,-0.14116182923316956,9.354962348937988,-0.0002664400089997798,-0.0002664400089997798,0.0
0,Acceleration_Y,0,0.0,1500,12.239999771118164,0.0,0.0,1500,0.0,0.0,0.0,0.3134271204471588,-0.07177720218896866,9.395636558532715,0.0015986401122063398,0.0,-0.0007993200561031699
0.3217524314005757,Acceleration_Y,0,1.5603800238753505,1500,12.239999771118164,0.0,0.0,1500,0.0,0.0,0.0,0.2631830871105194,-0.11245095729827881,9.393243789672852,0.0002664400089997798,0.0,-0.0002664400089997798
0.3217524314005757,Acceleration_Y,0,2.0267571133572257,1500,12.232000350952148,0.0,0.0,1500,0.0,0.0,0.0,0.2942865490913391,-0.12441382557153702,9.369318008422852,0.0,-0.0007993200561031699,-0.0002664400089997798
0.3217524314005757,Acceleration_Y,0,2.7401854076339505,1500,12.232000350952148,0.0,0.0,1500,0.0021739130758720894,0.0,0.0,0.28471624851226807,-0.09331036359071732,9.383673667907715,0.0002664400089997798,-0.0007993200561031699,-0.0002664400089997798
0.3217524314005757,Acceleration_Y,0,3.436790346243855,1500,12.243000030517578,1.5592820644378662,1.5592820644378662,1500,0.007177665137859747,0.0,-0.014999999664723873,0.22729448974132538,-0.1890133023262024,9.357355117797852,0.0,0.0007993200561031699,-0.0002664400089997798
0.3217524314005757,Acceleration_Y,0,4.077728182402246,1500,12.243000030517578,2.0251963138580322,2.0251963138580322,1500,0.021736223429526778,0.0,0.07199999690055847,1.0383769273757935,0.19619102776050568,8.706575393676758,0.012256240472197533,0.056218840181827545,0.043429721146821976
