Reference,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
0.386855492,4.39748986,1500,12.60000038,4.77575016,4.77575016,1500,0.478820898,0,-0.319999993,-0.358886033,0.059814338,11.43171597,-0.01651928,-0.056751721,0.058616802
0.386855492,4.213356628,1500,12.60000038,5.013750076,5.013750076,1500,0.474386639,0,-0.307000011,-0.423485518,-0.078954928,9.319073677,-0.0373016,0.03703516,0.062080521
0.386855492,4.006274149,1500,12.60000038,4.56224966,4.56224966,1500,0.475775112,0,0.103,-0.167480141,0.77280122,8.909943581,0.00985828,0.0119898,0.045028362
0.386855492,3.870224262,1500,12.60000038,4.396000385,4.396000385,1500,0.462790526,0,-0.298000008,-0.15073213,-0.318212271,9.866972923,-0.0013322,0.078866243,0.043163281
0.386855492,3.73747234,1500,12.60000038,4.212250233,4.212250233,1500,0.45278367,0,-0.137999997,-1.033591747,0.744090378,9.256866455,0.06474492,-0.00293084,0.052488681
0.386855492,3.620544257,1500,12.60000038,4.005750179,4.005750179,1500,0.444666832,0,0.093999997,0.165087566,-0.327782571,10.02488327,0.011190481,0.047959201,0.02371316
0.386855492,3.550639913,1500,12.60000038,3.869250298,3.869250298,1500,0.430921544,0,-0.028000001,0.095702939,-1.026414037,9.575078964,-0.069807284,-0.030374162,0.01039116
0.386855492,3.510077913,1500,12.60000038,3.736249924,3.736249924,1500,0.416577417,0,0.075999998,0.380419195,-0.136376694,8.01512146,-0.036502283,-0.020249441,0.0213152
0.386855492,3.507764566,1500,12.60000038,3.619000196,3.619000196,1500,0.400895547,0,0.059,-0.641209722,0.050244045,9.64207077,0.00106576,-0.00452948,0.03783448
0.386855492,3.597137342,1500,12.60000038,3.549000025,3.549000025,1500,0.373368867,0,-0.312999994,-0.102880664,0.31581971,10.27131844,0.0026644,-0.059416123,0.02850908
0.386855492,3.677373296,1500,12.60000038,3.508749962,3.508749962,1500,0.358537671,0,-0.015,0.478514701,-0.418700367,9.146808624,0.01305556,0.014654201,0.049291402
0.386855492,3.798824425,1500,12.60000038,3.506999969,3.506999969,1500,0.344189007,0,-0.136000007,0.244042501,-0.361278594,10.12537098,0.035170082,-0.01838436,0.045561243
0.386855492,3.919883827,1500,12.60000038,3.596250057,3.596250057,1500,0.336655474,0,-0.152999997,0.46655184,-0.954636812,9.488946915,-0.011190481,-0.009058961,0.01838436
0.386855492,4.050362885,1500,12.60000038,3.676750183,3.676750183,1500,0.331799048,0,-0.114,0.681883454,-1.105368972,9.113312721,-0.013588441,0.00559524,0.01918368
0.386855492,4.177963574,1500,12.60000038,3.797499895,3.797499895,1500,0.330230068,0,-0.237000003,0.497655302,-1.5360322,8.914729118,0.008792521,0.031706359,0.029041961
0.386855492,4.284672511,1500,12.60000038,3.918250084,3.918250084,1500,0.334226679,0,0,1.272849083,-0.14594698,9.761699677,0.078333363,-0.070073724,0.022647401
0.386855492,4.41068177,1500,12.60000038,4.049499989,4.049499989,1500,0.333315393,0,-0.305000007,0.564647317,-0.851756155,8.438606262,0.03277212,0.029308401,0.017585041
0.386855492,4.511052888,1500,12.60000038,4.175500393,4.175500393,1500,0.337327062,0,-0.208000004,0.430663228,2.112642288,9.99856472,0.006661,0.022380961,0.022114521
0.386855492,4.584427104,1500,12.60000038,4.282249928,4.282249928,1500,0.345831877,0,0.043000001,0.265575647,-1.208249569,9.034357071,-0.050357163,-0.027443321,0.013588441
0.386855492,4.633413514,1500,12.60000038,4.408249855,4.408249855,1500,0.356166594,0,0.104999997,1.179538727,-0.899607658,8.464924812,0.00639456,-0.038633801,0.031173481
0.386855492,4.65337302,1500,12.60000038,4.509750366,4.509750366,1500,0.367985452,0,0.004,0.734520078,-2.588764429,10.00813484,0.0039966,-0.080997765,0.018117921
0.386855492,4.645923653,1500,12.60000038,4.583250523,4.583250523,1500,0.380231013,0,0.074000001,0.248827651,-0.940281391,6.857115746,-0.024246041,0.013322,0.0026644
0.386855492,4.606783419,1500,12.60000038,4.632249832,4.632249832,1500,0.393392448,0,0.086999997,-0.409130067,0.940281391,8.586946487,0.014920641,0.0026644,0.060215443
0.386855492,4.579881026,1500,12.60000038,4.651500225,4.651500225,1500,0.398078081,0,-0.263000011,0.186620727,1.38290751,7.814145088,0.0093254,-0.011190481,0.02611112
0.386855492,4.555812679,1500,12.60000038,4.644500256,4.644500256,1500,0.398606639,0,-0.356999993,0.732127488,-2.217915535,10.18518543,-0.01625284,0.06581068,0.01625284
0.386855492,4.51871925,1500,12.60000038,4.604250431,4.604250431,1500,0.400890463,0,-0.328999996,0.064599484,-0.325389981,11.05368996,0.106309563,-0.071139485,0.02824264
0.386855492,4.459932687,1500,12.60000038,4.578000069,4.578000069,1500,0.406879302,0,0.104999997,-0.165087566,0.937888801,9.840654373,0.02104876,0.036235843,0.027976202
0.386855492,4.408092159,1500,12.60000038,4.553499699,4.553499699,1500,0.409269411,0,-0.150999993,0.674705744,0.485692412,8.771174431,-0.017052161,0.0106576,0.035436522
0.386855492,4.367344834,1500,12.60000038,4.516750336,4.516750336,1500,0.407643161,0,-0.379000008,0.181835592,-1.351804018,8.63479805,-0.021848081,-0.067409322,0.01412132
0.386855492,4.327728827,1500,12.60000038,4.459000111,4.459000111,1500,0.405923802,0,-0.319999993,-0.674705744,0.655565143,8.445784569,-0.011456921,0.029041961,0.03223924
0.386855492,4.280154726,1500,12.60000038,4.40650034,4.40650034,1500,0.406602574,0,-0.035,0.7680161,0.071777202,8.072543144,0.0106576,-0.035969403,0.020515881
0.386855492,4.229460522,1500,12.60000038,4.366250038,4.366250038,1500,0.40800223,0,0.133000001,0.370848894,-0.445018679,8.630012512,-0.033305001,0.048758522,0.045028362
0.386855492,4.178157897,1500,12.60000038,4.326000214,4.326000214,1500,0.409000724,0,0.096000001,-0.181835592,-0.174657866,8.62044239,-0.00186508,-0.01625284,0.029041961
0.386855492,4.136924625,1500,12.60000038,4.278749943,4.278749943,1500,0.407388721,0,-0.057,0.22729449,-0.602928519,8.689826965,-0.027176881,0.035702962,0.0106576
0.386855492,4.099443753,1500,12.60000038,4.228000164,4.228000164,1500,0.405329618,0,-0.202000007,-0.557469606,0.011962867,9.256866455,0.073537439,-0.01891724,0.055153083
0.386855492,4.075135978,1500,12.60000038,4.177250385,4.177250385,1500,0.401431675,0,-0.243000001,0.174657866,-0.009570294,10.42205048,0.034104321,-0.00213152,0.00852608
