Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1.955168835,1500,11.59599972,1.953603745,1.953603745,1500,0.092,0,-0.004,0.995310605,-0.60771364,8.295052528,-0.00426304,0.022647401,0.045827683
1.955168835,1500,11.59599972,1.953603745,1.953603745,1500,0.119000003,0,0.057,0.882859647,-0.483299851,9.084601402,-0.017052161,-0.018117921,0.00719388
1.955168835,1500,11.58899975,1.954034209,1.954034209,1500,0.138999999,0,0.032000002,0.643602252,-0.045458898,9.165948868,-0.00452948,-0.01305556,0.030374162
1.955168835,1500,11.58899975,1.954034209,1.954034209,1500,0.149000004,0,0.048,0.265575647,0.753660679,9.500909805,0.01092404,0.010124721,0.020515881
1.955168835,1500,11.56900024,1.953875542,1.953875542,1500,0.153999999,0,0.037,0.552684486,0.406737506,9.553545952,0.014654201,0.014654201,0.022114521
1.955168835,1500,11.56900024,1.953875542,1.953875542,1500,0.150000006,0,-0.125,0.602928519,-0.543114185,9.99856472,-0.056751721,-0.052755121,-0.00346372
1.955168835,1500,11.58600044,1.953528404,1.953528404,1500,0.137999997,0,-0.291999996,0.167480141,0.576610208,9.247296333,0.02104876,0.051955801,0.02584468
1.955168835,1500,11.58600044,1.953528404,1.953528404,1500,0.158999994,0,0.017000001,0.148339555,0.406737506,9.276007652,-0.027176881,0.029574841,0.017318601
1.955168835,1500,11.57499981,1.95488894,1.95488894,1500,0.163000003,0,0.041000001,0.552684486,-0.260790497,9.232940674,-0.00719388,0.0106576,0.017318601
1.955168835,1500,11.57499981,1.95488894,1.95488894,1500,0.169,0,0.057,0.667528033,0.30385682,9.067853928,0.040498883,-0.027976202,0.027709762
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.147,0,-0.233999997,0.433055818,-0.430663228,9.247296333,0.022647401,-0.013322,0.01625284
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.165000007,0,-0.032000002,0.380419195,-0.107665807,9.94592762,0.01838436,-0.011190481,0.01172336
1.955168835,1500,11.56799984,1.953706622,1.953706622,1500,0.165000007,0,0.050000001,0.712986887,0.244042501,9.747344017,0.013854881,-0.00559524,0.00053288
1.955168835,1500,11.56799984,1.953706622,1.953706622,1500,0.167999998,0,0.043000001,0.602928519,0.284716249,10.08469772,0.00293084,-0.012789121,0.010124721
1.955168835,1500,11.57400036,1.95472002,1.95472002,1500,0.148000002,0,-0.186000004,0.629246831,0.447411239,9.744952202,-0.029041961,0.029841281,0.006661
1.955168835,1500,11.57400036,1.95472002,1.95472002,1500,0.156000003,0,-0.108999997,0.483299851,0.189013302,9.151593208,0.03277212,0.013322,0.024778921
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.165000007,0,0.037,0.270360798,-0.052636616,10.06555653,0.03303856,0.00559524,0.00746032
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.164000005,0,0.059,0.7680161,0.047851469,8.974543571,0.00186508,0.014654201,0.013322
1.955168835,1500,11.58300018,1.954631329,1.954631329,1500,0.159999996,0,-0.050000001,0.320604861,-0.468944401,9.445879936,-0.00319728,-0.00026644,0.0053288
1.955168835,1500,11.58300018,1.954631329,1.954631329,1500,0.150000006,0,-0.209999993,-0.057421762,-0.086132646,9.613360405,0.00852608,0.0159864,0.013854881
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.165999994,0,0.004,0.299071699,-0.098095514,9.488946915,-0.01625284,-0.011190481,-0.00586168
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.165000007,0,0.035,0.567039907,-0.179443017,9.125275612,-0.0013322,0.00079932,0.012522681
1.955168835,1500,11.5720005,1.9543823,1.9543823,1500,0.162,0,0,0.504832983,0.004785147,9.493731499,0.01651928,0.0159864,0.01092404
1.955168835,1500,11.5720005,1.9543823,1.9543823,1500,0.142000005,0,-0.225999996,0.46176669,0.344530582,9.21380043,-0.00186508,-0.029574841,0.024512481
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.162,0,-0.059,-0.100488089,0.105273232,9.266437531,-0.0093254,-0.01412132,0.01651928
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.165000007,0,0.043000001,0.356493443,-0.282323658,9.108527184,-0.0026644,-0.01651928,0.02318028
1.955168835,1500,11.56599998,1.953368902,1.953368902,1500,0.160999998,0,0.057,0.392382056,-0.543114185,9.357355118,-0.012522681,-0.026910441,0.01838436
1.955168835,1500,11.56599998,1.953368902,1.953368902,1500,0.156000003,0,-0.046,0.093310364,-0.320604861,9.654033661,-0.00213152,-0.035969403,0.02158164
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.142000005,0,-0.243000001,0.141161829,-0.047851469,9.84783268,0.00852608,-0.02078232,0.01545352
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.165999994,0,0.024,0.208153889,-0.389989495,9.046319962,0.00106576,0.0039966,0.020249441
1.955168835,1500,11.58399963,1.954799891,1.954799891,1500,0.162,0,0.024,0.294286549,0.177050442,10.13254833,-0.02344672,-0.026644001,0.0213152
1.955168835,1500,11.58399963,1.954799891,1.954799891,1500,0.159999996,0,0.041000001,0.777586401,-0.021533161,9.457842827,-0.03783448,0.017052161,0.024512481
1.955168835,1500,11.58199978,1.954462528,1.954462528,1500,0.144999996,0,-0.202000007,0.488085002,0.401952356,9.364532471,-0.026910441,0.0213152,0.024246041
1.955168835,1500,11.58199978,1.954462528,1.954462528,1500,0.157000005,0,-0.079000004,0.057421762,-0.186620727,9.158771515,0.026377561,-0.00985828,0.033305001
1.955168835,1500,11.58100033,1.954293728,1.954293728,1500,0.170000002,0,-0.006,0.078954928,-0.435448378,9.32625103,0.031972799,-0.034370761,0.02824264
1.955168835,1500,11.58100033,1.954293728,1.954293728,1500,0.165000007,0,0.039000001,0.198583603,-0.327782571,9.376495361,0.00825964,0.00639456,0.014920641
1.955168835,1500,11.56599998,1.953368902,1.953368902,1500,0.157000005,0,-0.050000001,0.208153889,-0.411522657,9.661211967,0.00079932,0.0013322,0.00746032
1.955168835,1500,11.56599998,1.953368902,1.953368902,1500,0.148000002,0,-0.215000004,0.143554404,-0.406737506,10.06316376,0.00186508,-0.019983001,0.00825964
1.955168835,1500,11.58899975,1.954034209,1.954034209,1500,0.167999998,0,0,0.727342367,-0.064599484,9.481768608,-0.00825964,-0.00746032,0.01412132
1.955168835,1500,11.58899975,1.954034209,1.954034209,1500,0.167999998,0,0.021,0.600535929,0.004785147,9.261651993,-0.011190481,0.02318028,0.00719388
1.955168835,1500,11.57600021,1.953449965,1.953449965,1500,0.160999998,0,-0.029999999,0.674705744,0.878074467,10.20911121,0.047692761,-0.00825964,0.031972799
1.955168835,1500,11.57600021,1.953449965,1.953449965,1500,0.144999996,0,-0.243000001,-0.026318308,-0.045458898,9.409991264,-0.00719388,0.043962602,0.01172336
1.955168835,1500,11.58100033,1.954293728,1.954293728,1500,0.164000005,0,0.004,0.181835592,-0.526366174,9.771269798,-0.015187081,0.00213152,0.01305556
1.955168835,1500,11.58100033,1.954293728,1.954293728,1500,0.164000005,0,0.013,0.751268089,-0.378026605,9.469805717,-0.00186508,0.01438776,0.00186508
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.162,0,0.026000001,0.411522657,-0.026318308,10.07991219,-0.017585041,0.00373016,0.00426304
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.145999998,0,-0.169,0.222509339,-0.593358219,9.462628365,-0.01678572,0.00852608,0.00612812
1.955168835,1500,11.56400013,1.95463717,1.95463717,1500,0.148000002,0,-0.147,0.30864197,0.186620727,9.235333443,-0.00213152,0.0039966,0.019450121
1.955168835,1500,11.56400013,1.95463717,1.95463717,1500,0.163000003,0,0.024,0.256005377,-0.191405877,9.551153183,-0.00559524,-0.0026644,0.00373016
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.164000005,0,0.008,0.200976178,1.057517529,8.991291046,0.00319728,0.00586168,0.017052161
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.160999998,0,0.041000001,0.409130067,0.478514701,8.941046715,0.0039966,0.01039116,0.024246041
1.955168835,1500,11.5720005,1.9543823,1.9543823,1500,0.140000001,0,-0.202000007,0.251220226,-0.373241454,9.443487167,-0.00506236,0.00106576,0.017851481
1.955168835,1500,11.5720005,1.9543823,1.9543823,1500,0.150999993,0,-0.092,0.186620727,0.208153889,9.374102592,-0.01412132,0.00586168,0.02078232
1.955168835,1500,11.57400036,1.95472002,1.95472002,1500,0.160999998,0,0.041000001,0.366063744,-0.567039907,9.64207077,-0.00852608,-0.026644001,0.02850908
1.955168835,1500,11.57400036,1.95472002,1.95472002,1500,0.159999996,0,0.032000002,0.454588979,-0.050244045,9.732989311,0.00959184,-0.01039116,0.013854881
1.955168835,1500,11.56299973,1.954468131,1.954468131,1500,0.159999996,0,0.013,0.026318308,-0.105273232,9.37888813,-0.0026644,0.00612812,0.010124721
1.955168835,1500,11.56299973,1.954468131,1.954468131,1500,0.142000005,0,-0.155000001,0.356493443,-0.200976178,9.223370552,-0.029308401,-0.00213152,0.015719961
1.955168835,1500,11.57299995,1.954551101,1.954551101,1500,0.140000001,0,-0.181999996,-0.1172361,-0.507225573,9.922001839,-0.045827683,0.0026644,0.019716561
1.955168835,1500,11.57299995,1.954551101,1.954551101,1500,0.159999996,0,0.028000001,-0.260790497,-0.30624941,9.077424049,-0.015187081,0.00852608,0.017052161
1.955168835,1500,11.56799984,1.953706622,1.953706622,1500,0.165999994,0,0.052000001,0.294286549,0.258397937,9.299933434,0.025045361,-0.00772676,0.027709762
1.955168835,1500,11.56799984,1.953706622,1.953706622,1500,0.166999996,0,-0.004,0.342138022,0.531151295,9.584649086,0.02584468,-0.021848081,0.020249441
1.955168835,1500,11.56299973,1.954468131,1.954468131,1500,0.143000007,0,-0.211999997,0.394774616,0.153124705,9.912431717,0.012522681,0.00612812,0.023979601
1.955168835,1500,11.56299973,1.954468131,1.954468131,1500,0.158999994,0,0.075999998,0.825437844,-0.282323658,10.00095749,-0.03277212,-0.075402521,0.026644001
1.955168835,1500,11.57800007,1.953787565,1.953787565,1500,0.165000007,0,0.086999997,0.126806393,-0.055029191,10.05359364,0.008792521,-0.00719388,0.031439923
1.955168835,1500,11.57800007,1.953787565,1.953787565,1500,0.162,0,0.054000001,1.016843796,-0.294286549,9.591827393,0.009058961,-0.02078232,0.03303856
1.955168835,1500,11.58399963,1.954799891,1.954799891,1500,0.145999998,0,-0.237000003,0.220116764,-0.363671184,9.644463539,-0.00746032,0.00825964,0.0093254
1.955168835,1500,11.58399963,1.954799891,1.954799891,1500,0.159999996,0,-0.015,0.057421762,-0.447411239,9.826299667,0.01092404,0.038367361,0.0373016
1.955168835,1500,11.56400013,1.95463717,1.95463717,1500,0.163000003,0,0.082999997,0.08374007,1.203464508,9.627716064,0.053820882,-0.045827683,0.01039116
1.955168835,1500,11.56400013,1.95463717,1.95463717,1500,0.165999994,0,0.021,0.057421762,-0.440233529,9.778448105,-0.006661,-0.00746032,0.01172336
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.150000006,0,-0.155000001,0.473729551,-0.15551728,8.615656853,-0.014920641,0.012522681,0.013322
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.156000003,0,-0.171000004,0.248827651,0.928318501,9.723418236,-0.00479592,-0.00612812,0.020515881
1.955168835,1500,11.58399963,1.954799891,1.954799891,1500,0.165999994,0,0.071999997,0.559862196,0.136376694,9.594220161,0.0093254,-0.009058961,0.019450121
1.955168835,1500,11.58399963,1.954799891,1.954799891,1500,0.164000005,0,0.029999999,0.641209722,0.232079625,9.295147896,0.00479592,0.0026644,0.015719961
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.158000007,0,-0.050000001,0.528758764,-0.555077076,9.244903564,-0.0039966,0.009058961,0.00772676
1.955168835,1500,11.57699966,1.953618765,1.953618765,1500,0.144999996,0,-0.256000012,-0.2344722,-0.334960282,10.21389675,-0.01545352,-0.0053288,0.01678572
1.955168835,1500,11.57499981,1.953281283,1.953281283,1500,0.163000003,0,0.039000001,0.090917796,-0.074169777,9.69470787,-0.00639456,-0.00452948,0.00692744
1.955168835,1500,11.57499981,1.953281283,1.953281283,1500,0.158999994,0,0.037,0.258397937,-0.019140588,8.797492981,-0.00213152,-0.019716561,0.019983001
1.955168835,1500,11.56200027,1.954299212,1.954299212,1500,0.158000007,0,0.050000001,0.667528033,-0.330175132,9.094171524,-0.014654201,-0.021848081,0.00426304
1.955168835,1500,11.56200027,1.954299212,1.954299212,1500,0.150999993,0,-0.103,-0.045458898,-0.224901915,9.280792236,-0.00452948,-0.00293084,0.013588441
1.955168835,1500,11.5710001,1.954213381,1.954213381,1500,0.136999995,0,-0.270000011,0.133984119,0.057421762,10.33831024,0.0119898,-0.019716561,0.00772676
1.955168835,1500,11.5710001,1.954213381,1.954213381,1500,0.158000007,0,-0.021,0.217724189,0.299071699,9.17551899,-0.067942202,0.043696161,0.00479592
1.955168835,1500,11.57999992,1.954125047,1.954125047,1500,0.158000007,0,0.024,0.696238875,0.081347495,9.776055336,-0.027709762,-0.00772676,0.01438776
1.955168835,1500,11.57999992,1.954125047,1.954125047,1500,0.157000005,0,0.029999999,0.22968705,0.071777202,10.00095749,-0.01172336,-0.00559524,0.02850908
1.955168835,1500,11.57600021,1.953449965,1.953449965,1500,0.163000003,0,0.028000001,0.555077076,-0.131591544,8.792707443,-0.010124721,0.013588441,0.017585041
