Reference,Control,Measure,State_1,State_2,State_3
5.715359507736601,0.0,0.0,0.0,0.0,0.0
5.715359507736601,731.7946313705943,0.0,9.45981742043092,0.7317632250538533,1.0425102655844547
5.715359507736601,-53.01075253650227,1.0425102655844547,10.654411705962156,0.6561739754271174,3.0097269894112078
5.715359507736601,-185.8600976089656,3.0097269894112078,9.901669110131415,0.448592352499476,4.574564999095829
5.715359507736601,-185.8600976089656,4.574564999095829,8.583811433966963,0.2460994098496078,5.558055131240396
5.715359507736601,-142.51610481246863,5.558055131240396,7.284620903040747,0.0923105607731512,6.0367639939341
5.715359507736601,-58.54899133244685,6.0367639939341,6.664423810748021,0.0267609724788231,6.205116177388052
5.715359507736601,-58.54899133244685,6.205116177388052,5.872085847676292,-0.0369208409899886,6.190263983595072
5.715359507736601,-14.912672609362314,6.190263983595072,5.479724390926953,-0.0550241914486392,6.059776369991786
5.715359507736601,-14.912672609362314,6.059776369991786,5.0434683164072025,-0.0724609173100707,5.878906845684383
5.715359507736601,15.930099805936202,5.878906845684383,4.964597042060374,-0.0583743242570939,5.693505831717377
0.2592391809112238,-676.6866997668762,5.693505831717377,-4.0271520336124,-0.7371314913596794,4.560984054156347
0.2592391809112238,68.96601963185931,4.560984054156347,-5.120047698846156,-0.6491747130240371,2.596158205905545
0.2592391809112238,68.96601963185931,2.596158205905545,-5.950202065854541,-0.5624111594458635,0.8790355643462789
0.2592391809112238,201.22729605574216,0.8790355643462789,-4.815544180372826,-0.3447381347093148,-0.4055668055111162
0.2592391809112238,201.22729605574216,-0.4055668055111162,-3.0939950724238896,-0.132636700091777,-1.080895553100359
0.2592391809112238,130.61855225400046,-1.080895553100359,-1.7234877537565625,0.0030099414320081,-1.263733804247524
0.2592391809112238,42.36669362578556,-1.263733804247524,-1.1390138253476514,0.0464839880560693,-1.1932614059012498
0.2592391809112238,42.36669362578556,-1.1932614059012498,-0.4432281764419044,0.0886011879928385,-1.001451966964083
0.2592391809112238,3.001977839714433,-1.001451966964083,-0.1506047663295455,0.0899525002010153,-0.7482972657316344
0.2592391809112238,3.001977839714433,-0.7482972657316344,0.1409511241892027,0.0910744432296026,-0.4916380547931744
0.2592391809112238,-18.184675020407543,-0.4916380547931744,0.1569417510399774,0.0707870570737268,-0.2622988495708305
0.2592391809112238,-18.459838773906487,-0.2622988495708305,0.1126681423494021,0.0506607630713584,-0.0902551204358393
8.221200811199381,1005.1267802063109,-0.0902551204358393,13.24490546600868,1.0545509559373012,1.4835908727016582
8.221200811199381,-84.10664324920924,1.4835908727016582,14.873146162356466,0.9381710077655976,4.307955920762847
8.221200811199381,-84.10664324920924,4.307955920762847,16.150735703147284,0.8232456196944102,6.804395399201443
8.221200811199381,-282.35197698006,6.804395399201443,14.524812752474734,0.5117450696096262,8.694910092097945
8.221200811199381,-221.07094803155985,8.694910092097945,12.851228304620596,0.2694976135969402,9.800827679397669
8.221200811199381,-147.17290929045092,9.800827679397669,11.486542638788825,0.1076258328931092,10.334361462405566
8.221200811199381,-89.47515498934203,10.334361462405566,10.439861826951862,0.0079479068730835,10.49751374435046
8.221200811199381,-89.47515498934203,10.49751374435046,9.133123784445903,-0.0888191426543268,10.382177222116317
8.221200811199381,-32.2201007787783,10.382177222116317,8.31884595857697,-0.1253095035429161,10.078332525551044
8.221200811199381,9.323233416515336,10.078332525551044,7.953502710501252,-0.1188986537878895,9.732139737369245
8.221200811199381,18.93717733829797,9.732139737369245,7.736300661095071,-0.1027663890254518,9.417975061654303
8.221200811199381,19.63640700706654,9.417975061654303,7.576603535021157,-0.0861423492441749,9.15025436460365
8.221200811199381,19.63640700706654,9.15025436460365,7.465792087108896,-0.0697757947271944,8.929304566014517
8.221200811199381,18.460590865603383,8.929304566014517,7.387143894652605,-0.054870158671342,8.752681026521524
8.221200811199381,13.19292646062572,8.752681026521524,7.283169022730129,-0.0455068509910067,8.610426664244015
8.221200811199381,11.250832295823791,8.610426664244015,7.18185465783465,-0.0382210125407104,8.491762448507453
8.221200811199381,10.212032144975383,8.491762448507453,7.089053757901389,-0.0320654135636911,8.392147180229612
8.221200811199381,10.212032144975383,8.392147180229612,7.014909778008749,-0.0259821937372346,8.30988313675238
8.221200811199381,9.590648099573327,8.30988313675238,6.950881026073247,-0.0206038401820564,8.24386398715988
8.221200811199381,9.590648099573327,8.24386398715988,6.902872119565362,-0.0153003588297655,8.192988592151076
8.221200811199381,7.525296973750541,8.192988592151076,6.843711950228187,-0.0121462883331087,8.154089128898153
8.221200811199381,5.844123695142407,8.154089128898153,6.772570610591671,-0.0107024867893148,8.121696575003519
8.221200811199381,5.844123695142407,8.121696575003519,6.706619758671077,-0.0092419855315384,8.09342180663104
8.221200811199381,5.727187085639704,8.09342180663104,6.644308608845829,-0.007885624422295,8.069140014200146
8.221200811199381,5.727187085639704,8.069140014200146,6.586799007162075,-0.0065166590122969,8.048722223938434
8.221200811199381,5.456618374570212,8.048722223938434,6.530549206825201,-0.0054091991279251,8.031813657349508
8.221200811199381,5.456618374570212,8.031813657349508,6.478308474745998,-0.0042877831278081,8.018065250835786
8.221200811199381,5.101638096208723,8.018065250835786,6.425460720191067,-0.0035104180634694,8.007006535360363
8.221200811199381,4.778273981245508,8.007006535360363,6.37146743833568,-0.0030374919419418,7.997718387448723
8.221200811199381,4.778273981245508,7.997718387448723,6.319680604994002,-0.0025381631305966,7.989808906067716
8.221200811199381,4.75712344923573,7.989808906067716,6.269863869598689,-0.0020356681090404,7.983319849386751
