throttl_m1,throttl_m2,throttl_m3,throttl_m4,throttle,throttle_out,yaw,pitch,roll,x,y,z,x_velocity,y_velocity,z_velocity,yaw_angle,pitch_angle,roll_angle,yaw_angle_velocity,pitch_angle_velocity,roll_angle_velocity
0,0,0,0,0,0,-0.0000140266,-0.0000130719,0.00000229517,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000145307,-0.0000204791,0.00000446904,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000107334,0.0000000353905,0.0000120555,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.000014899,-0.0000173896,-0.0000147683,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000191168,-0.0000094572,-0.00000257631,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000159113,0.0000143577,-0.0000134168,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000199254,-0.00000250292,0.00000950611,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000156319,-0.00000610303,0.00000877862,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000105151,0.00000676543,-0.00000271137,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000154577,-0.00000730656,0.0000069633,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000109026,-0.000028563,-0.00000145885,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000174176,-0.0000210422,0.0000204453,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000130223,-0.0000257005,-0.0000147918,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000155805,-0.00000692897,0.00000101098,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000153339,-0.0000183656,-0.0000231791,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000188547,-0.00000169027,-0.0000000788827,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000126096,-0.0000248306,-0.00000523038,0,0,0,0,0,0,0,0,0,-0.0000000000180094,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0000184923,-0.0000104587,0.0000158625,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.000164383,-0.00000327656,-0.0000103138,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.000513315,-0.00000481281,-0.000010634,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.000887112,0.0000116814,-0.0000314268,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00125802,-0.000027775,-0.0000350044,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00160898,-0.000016715,-0.0000284215,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00194477,-0.00000296957,-0.00000921001,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00227271,0.00000431563,-0.0000178642,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00256651,-0.00000258209,-0.0000569913,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00285567,-0.0000139284,-0.0000132862,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0031293,-0.0000237499,-0.000028076,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00338666,-0.00000398158,-0.0000473791,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00362553,-0.00000418501,0.00000583672,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00384885,-0.0000153487,-0.0000300544,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00405127,-0.0000124419,0.0000140187,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00424763,-0.0000131081,-0.0000369914,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00442244,-0.000000111591,0.00000166021,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00460238,-0.00000525096,-0.0000421705,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00474806,-0.0000192804,-0.000000846556,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00488133,-0.00000984724,-0.0000255088,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00500332,-0.00000824754,-0.0000264227,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00511096,0.000000755584,-0.00000578175,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00520316,-0.0000325988,-0.00000703518,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00529199,-0.0000126785,-0.0000186103,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00537373,-0.00000754947,-0.000222626,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00544145,-0.0000143441,-0.000217089,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00549174,-0.0000452269,-0.000198515,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00554384,-0.0000456399,-0.00023724,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00559241,-0.0000205662,-0.000235129,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00562497,-0.0000492883,-0.000231428,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.0056477,-0.0000393961,-0.000223843,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00567117,-0.0000268234,-0.000248958,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00567967,-0.0000312342,-0.000206693,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755366
0,0,0,0,0,0,-0.00569567,-0.000061108,-0.0002281,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00570155,-0.0000586045,-0.000232452,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
0,0,0,0,0,0,-0.00570091,-0.0000350937,-0.000204604,0,0,0,0,0,0,0,0,0,-0.0000000000180093,-0.0000158946,0.00000755367
